Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-655.6072	-758.0438	102.4366	0.159664	0.375325	0.314917	0.150094	18.09737	1.360076	1.586678	1.813712
6	-646.1839	-755.8529	109.669	0.0194117	0.171707	0.797346	0.0115351	0.7683905	1.499969	1.403294	0.7738285
12	-655.1502	-760.4924	105.3422	0.0142019	0.628234	0.354792	0.00277258	2.621632	1.763822	1.212305	4.952978
18	-655.9945	-760.3709	104.3763	0.205674	0.501792	0.272837	0.0196958	1.406678	1.263422	1.91108	9.076357
24	-648.1629	-756.3542	108.1913	0.0373285	0.426568	0.361108	0.174995	1.21974	1.274572	1.766434	1.568003
30	-643.4019	-750.2821	106.8802	0.146408	0.527799	0.188521	0.137272	1.274234	1.347428	1.837792	3.121109
36	-658.3463	-764.4585	106.1123	0.00465204	0.24366	0.688315	0.0633723	6.246166	1.482911	1.558209	0.8527782
42	-647.2447	-751.2061	103.9614	0.189338	0.331604	0.427211	0.0518474	3.078859	1.659859	1.052351	8.868486
48	-639.7797	-743.638	103.8583	0.217664	0.497193	0.170576	0.114566	3.149371	1.638695	1.232465	8.465685
54	-642.5905	-747.9288	105.3383	0.145322	0.350456	0.480322	0.0238999	5.425975	1.570906	1.232465	2.580189
60	-648.8895	-753.7777	104.8882	0.129342	0.31192	0.537466	0.0212719	5.492053	1.537367	1.054032	3.703852
66	-650.2465	-757.2508	107.0043	0.268697	0.25828	0.402881	0.0701429	2.632059	1.52434	1.03608	2.61089
72	-646.8212	-753.8461	107.0249	0.160154	0.232289	0.419993	0.187565	1.870804	2.084721	0.5915519	3.073527
78	-652.5303	-760.3163	107.786	0.255103	0.230098	0.370162	0.144637	3.057156	1.934035	0.7645706	1.079212
84	-647.0115	-753.2513	106.2398	0.0753421	0.659917	0.120105	0.144636	7.918024	1.938513	0.7331903	0.6065894
90	-651.1797	-757.3519	106.1722	0.0840425	0.260673	0.516278	0.139007	5.366315	2.368955	0.4587291	1.232744
96	-651.7291	-754.7392	103.0101	0.111158	0.62246	0.221264	0.0451178	17.15842	2.331764	0.4972173	1.381681
102	-652.9937	-757.7562	104.7626	0.0367741	0.85173	0.0931783	0.0183174	8.105181	2.474053	0.523025	1.607464
108	-655.4872	-757.5154	102.0282	0.0994209	0.690123	0.115842	0.0946141	14.11319	2.327096	0.4638651	3.701106
114	-651.4177	-754.5875	103.1698	0.228427	0.125714	0.0741673	0.571692	10.80925	2.212462	0.6244474	3.160726
120	-647.8069	-752.4566	104.6497	0.59437	0.187443	0.138578	0.079609	5.517033	2.01786	0.4862434	3.916136
126	-652.309	-751.7614	99.45243	0.244539	0.475207	0.079682	0.200572	22.65996	2.005058	0.5710876	7.116251
132	-645.9784	-752.5651	106.5867	0.404878	0.230646	0.0795032	0.284973	4.786512	1.976886	0.7292874	1.396007
138	-653.3106	-758.8459	105.5352	0.441709	0.278842	0.0970364	0.182413	4.786512	1.919056	0.6562883	2.979863
144	-658.2375	-764.8482	106.6107	0.223302	0.342269	0.0160161	0.418412	2.794771	1.659553	1.083989	2.774665
150	-658.8439	-758.8187	99.9748	0.17911	0.610597	0.0540551	0.156239	32.19027	1.710286	1.073184	3.052355
156	-649.0424	-753.8919	104.8495	0.557814	0.0997818	0.182301	0.160103	6.234614	1.613489	1.169585	2.902378
162	-648.2598	-757.0596	108.7997	0.300096	0.0763333	0.480603	0.142968	1.554881	1.765611	0.9233449	1.165893
168	-648.994	-754.5606	105.5666	0.308512	0.514841	0.0389579	0.137689	8.280523	1.659632	1.512147	0.6117293
174	-650.0397	-756.8453	106.8056	0.116705	0.628724	0.148266	0.106305	1.440619	1.300005	2.303376	2.009697
180	-642.7363	-750.7707	108.0344	0.298633	0.28333	0.379393	0.0386439	1.425618	1.407595	1.361533	2.056259
186	-646.8826	-753.9601	107.0775	0.390173	0.235331	0.309684	0.0648117	2.793157	1.531618	1.42224	1.727579
192	-651.7215	-758.4022	106.6807	0.184514	0.329726	0.442299	0.0434601	3.389295	1.583605	1.176454	2.112842
