Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-656.4069	-760.0366	103.6296	0.00180138	0.0144652	0.00514455	0.00344625	0.0318214	0.0174622	0.00324828	0.0112223	0.0318812	0.00774674	0.0110386	0.00327238	0.0337952	0.053671	0.000104156	0.0026002	0.00503351	0.00498175	0.00350796	0.00273486	0.00517913	0.000688242	0.00467469	0.000299325	0.000231335	0.00176388	0.00347772	0.00498435	0.00720975	0.00256641	0.0118626	0.000217696	0.00292584	0.00110606	0.0025332	0.00222327	0.013986	0.0179727	0.0136582	0.00418437	0.000241558	0.0221518	0.0199217	0.00325653	0.0314338	0.0103947	0.00596083	0.00134802	0.0139937	0.014165	0.0012075	0.0068843	0.00099414	0.00214227	0.0019303	0.0296766	0.00469465	0.00590096	0.0262804	0.0340509	0.00832479	0.0159095	0.00200759	0.0123441	0.000167371	0.0148546	0.0146455	0.00579433	0.0095887	0.15881	0.462701	0.100557	0.277932	3.84098	0.281358	0.43996	0.56004	0.718643	0.0765247	0.285514	0.676341	1.47854	3.50246	13.0677	1.858389	0.00268466	0.021558	0.0076671	0.00513606	0.0474245	0.0260245	0.00484102	0.016725	0.0475137	0.0115452	0.0164513	0.00487694	0.0503661	0.0799878	0.000155227	0.00387516	0.00750161	0.00742448	0.00522804	0.00407586	0.00771864	0.00102571	0.00696686	0.000446095	0.000344767	0.00262877	0.00518297	0.00742836	0.0107449	0.00382481	0.0176793	0.000324441	0.00436048	0.00164839	0.00377532	0.00331341	0.0208438	0.0267854	0.0203554	0.00623611	0.000360002	0.0330136	0.02969	0.00485332	0.0468468	0.0154916	0.00888364	0.002009	0.0208552	0.0211107	0.00179958	0.0102599	0.0014816	0.00319269	0.0028768	0.0442281	0.00699661	0.00879441	0.0391666	0.0507472	0.0124067	0.0237104	0.00299197	0.0183969	0.000249438	0.0221383	0.0218267	0.00863549	0.0142904	0.67099	8.961251	0.3529	0.46124	0.53876	0.647099
36	-657.669	-764.2908	106.6219	0.000766802	0.00833096	0.00541802	0.0353603	0.0302374	0.0114974	0.00784922	0.000688276	0.0191153	0.00644785	0.014054	0.00520491	0.0468137	0.0304666	0.000232124	0.00572858	0.00404065	0.00733981	0.0140317	0.00985026	0.00562886	0.0019427	0.00381556	0.00643797	0.000501907	0.0033315	8.41638e-05	0.0130099	0.00612684	0.000314189	0.016682	0.00103702	0.00285057	0.0027685	7.11705e-05	0.0020265	0.00752179	0.0230079	0.034259	0.00281163	0.0232736	0.0375542	0.0409596	0.00303355	0.0192881	0.0102466	0.00286621	0.0167423	0.0176879	0.0218995	0.00298776	0.0168518	0.00110462	0.000734105	0.0105068	0.00273576	0.00357772	0.0115467	0.0451431	0.0208397	0.00392729	0.00767676	0.00364844	0.0105677	0.00339094	0.0481301	0.0012629	0.00338743	0.00791664	0.0123452	0.629822	0.111509	0.246324	1.595945	0.182745	0.403822	0.596179	0.817254	0.0765035	0.285475	0.676313	1.47861	3.50293	13.0713	1.858589	0.000961879	0.0104504	0.00679638	0.0443561	0.03793	0.0144224	0.0098461	0.000863376	0.0239783	0.00808821	0.0176294	0.00652906	0.0587234	0.0382175	0.000291177	0.00718596	0.00506861	0.00920709	0.0176015	0.0123562	0.00706086	0.00243693	0.00478625	0.00807581	0.000629594	0.00417905	0.000105575	0.0163196	0.00768554	0.00039412	0.020926	0.00130085	0.00357576	0.00347282	8.92766e-05	0.00254205	0.00943536	0.0288612	0.0429746	0.00352692	0.0291945	0.0471081	0.0513799	0.0038053	0.0241951	0.0128534	0.00359538	0.0210016	0.0221878	0.0274709	0.00374786	0.021139	0.00138564	0.000920864	0.0131797	0.00343174	0.00448791	0.0144842	0.0566276	0.0261414	0.00492641	0.00962976	0.00457662	0.0132561	0.00425361	0.0603746	0.00158418	0.0042492	0.00993066	0.7971913	4.487147	0.296316	0.444644	0.555356	0.703685
72	-655.0069	-760.4695	105.4626	0.00165473	0.00916903	0.00888977	0.00879784	0.00767074	0.00606891	5.57739e-05	0.0026007	0.0158386	0.0118709	0.0026987	0.00164061	0.0281836	0.0269304	0.00403361	0.0029041	0.000213117	9.94031e-05	0.00078918	0.00679034	0.0125098	0.00167585	0.00290818	0.00406311	0.00284915	0.00239763	0.0052255	0.0118114	0.00187996	0.000608631	0.00932349	0.00622136	4.92513e-05	0.00178102	0.00537298	0.00513166	0.00239734	0.00452359	0.0147028	0.0216696	0.00730757	0.00159115	0.00913981	0.00326735	0.00984398	0.00239323	0.0065563	0.00987144	0.00129964	0.0164036	0.00233463	0.00108175	0.0150738	0.0073425	0.00385264	0.00319362	0.0164865	0.00175534	0.0172544	0.00306723	0.0231526	0.00370561	0.0149239	0.0205493	0.00420843	0.004188	0.00319431	0.022621	0.00896301	0.323575	0.626692	0.0286822	0.0210503	8.099588	0.345609	0.459184	0.540816	0.65439	0.0507705	0.233735	0.635409	1.57379	4.27835	19.6965	2.155063	0.00325334	0.0180271	0.017478	0.0172973	0.0150813	0.011932	0.000109656	0.0051132	0.03114	0.0233392	0.00530588	0.00322557	0.0554114	0.0529475	0.00793043	0.00570971	0.000419007	0.000195435	0.00155159	0.0133504	0.0245954	0.00329487	0.00571772	0.00798842	0.00560167	0.00471394	0.0102738	0.0232222	0.00369617	0.00119662	0.0183308	0.0122317	9.68323e-05	0.00350164	0.0105637	0.0100893	0.00471337	0.00889376	0.0289069	0.0426042	0.0143673	0.00312834	0.0179696	0.00642389	0.0193541	0.00470529	0.0128902	0.0194081	0.0025552	0.0322509	0.00459008	0.00212681	0.0296363	0.014436	0.00757462	0.00627893	0.0324138	0.00345115	0.0339236	0.00603044	0.0455201	0.00728554	0.0293417	0.0404017	0.00827414	0.00823396	0.00628029	0.0444748	0.017622	0.5086251	1.182556	0.145644	0.38633	0.613671	0.854356
108	-646.5966	-752.6976	106.1009	0.020803	0.022565	0.00604089	0.0354115	0.0106794	0.0304878	0.00802174	0.00645207	0.0211405	0.028516	0.00244387	0.0104001	0.0488864	0.0843581	0.0040325	0.012159	0.00811061	0.00284246	0.0109179	0.0128394	0.0220278	0.00145449	0.00477406	0.00301852	0.00353209	0.00426988	0.00420348	0.00694167	0.00785175	0.00523996	0.0116201	0.00821523	0.00268126	0.00403637	0.0034417	0.0030969	0.00156918	0.0260031	0.0104024	0.00342342	0.0138241	0.015982	0.0296206	0.00910974	0.0392956	0.00114733	0.00952937	0.000110219	0.0155263	0.00263163	0.00678064	0.00581658	0.00385212	0.00907227	0.0200125	0.00562625	0.00100927	0.0191562	0.0761037	0.0100814	0.00571085	0.00756008	0.00345429	0.0113282	0.0379224	0.00796692	0.0793058	0.00410448	0.0543856	0.49005	0.0813578	0.422887	0.00570514	2.008283	0.210496	0.415184	0.584815	0.789505	0.119104	0.354263	0.723433	1.3823	2.82276	8.39605	1.538518	0.0201787	0.0218878	0.0058596	0.0343488	0.0103589	0.0295728	0.00778101	0.00625844	0.020506	0.0276603	0.00237053	0.010088	0.0474193	0.0818265	0.00391149	0.0117941	0.00786722	0.00275716	0.0105903	0.0124541	0.0213667	0.00141084	0.00463079	0.00292793	0.00342609	0.00414175	0.00407734	0.00673335	0.00761613	0.00508271	0.0112714	0.00796869	0.00260079	0.00391524	0.00333842	0.00300396	0.00152209	0.0252228	0.0100903	0.00332069	0.0134092	0.0155024	0.0287317	0.00883636	0.0381164	0.0011129	0.0092434	0.000106911	0.0150603	0.00255266	0.00657716	0.00564202	0.00373652	0.00880002	0.0194119	0.00545741	0.000978977	0.0185813	0.0738199	0.00977886	0.00553947	0.0073332	0.00335062	0.0109883	0.0367844	0.00772783	0.0769258	0.00398131	0.0527535	1.030938	5.172024	0.309251	0.448583	0.551417	0.690749
144	-653.5958	-755.7651	102.1693	0.00344131	0.00485157	0.00348104	0.00513171	0.0155512	0.0188457	0.00161396	0.00448006	0.00663894	0.0169208	0.000710696	0.0232793	0.0292804	0.0303347	0.00223715	0.00115267	0.00626219	0.000473235	0.00154727	0.00837933	0.00452126	0.000217364	0.00516223	0.0110862	0.000670097	0.00135789	0.0035077	0.00345329	0.0032827	0.000446597	0.00118885	0.00185897	0.0032741	0.00783275	0.0045166	0.00831543	0.000795356	0.016888	0.0124414	0.0022777	0.0210067	0.0178835	0.0219954	0.00103107	0.0296964	0.0001237	0.0175401	0.00334325	0.000748889	0.00655196	0.0171823	0.00632572	0.0105412	0.0022658	0.014992	0.00365656	0.00394568	0.0262026	0.053344	0.0084325	0.00975701	0.00481428	0.00879114	0.00153918	0.00919386	0.0139264	0.00873339	0.0033042	0.0173606	0.0226964	0.0220624	0.491888	0.463353	10.2126	0.361862	0.46374	0.536261	0.638137	0.0488201	0.229312	0.631633	1.5832	4.36088	20.4834	2.183389	0.00553322	0.00780074	0.00559709	0.00825118	0.0250045	0.0303016	0.00259506	0.00720339	0.0106746	0.0272065	0.00114271	0.0374303	0.0470794	0.0487745	0.00359707	0.00185335	0.0100688	0.000760905	0.00248783	0.0134729	0.00726963	0.000349495	0.00830025	0.0178253	0.00107744	0.00218333	0.00563996	0.00555247	0.00527818	0.000718074	0.00191154	0.00298899	0.00526436	0.0125941	0.00726214	0.0133702	0.00127884	0.0271538	0.0200042	0.00366227	0.0337763	0.0287545	0.035366	0.00165783	0.0477482	0.000198895	0.0282024	0.00537554	0.00120412	0.0105348	0.027627	0.010171	0.016949	0.00364313	0.0241054	0.00587931	0.00634418	0.0421307	0.0857707	0.0135584	0.0156881	0.00774078	0.0141351	0.00247482	0.0147826	0.022392	0.0140422	0.00531276	0.0279138	0.6219372	5.641843	0.316826	0.450845	0.549156	0.683173
180	-657.7108	-766.1201	108.4093	0.0115619	0.00484203	0.00313094	0.00613565	0.0134058	0.0106142	0.000507025	0.00363927	0.0269825	0.0128705	0.00801115	0.00341323	0.0339115	0.0324911	0.0049623	0.00228244	0.00569182	0.00240891	0.00113729	0.0297029	0.0158147	0.00397504	0.0041208	0.0102503	0.0214749	0.000515883	0.0018871	0.00924828	0.00914339	0.000711167	0.0231932	0.00829785	0.00902096	0.00211204	0.00272519	0.00281502	0.00199917	0.000877943	0.0160814	0.00483877	0.0127801	0.0193271	0.000494303	0.0303824	0.00133348	0.0112964	0.00247936	0.00240139	0.00368195	0.0274083	0.0101191	0.0133872	0.0372171	0.00166143	0.00700699	0.0065405	0.0039521	0.00403365	0.0108916	0.0014591	0.00131863	0.0216658	0.00283419	0.00110653	0.012813	0.0191973	0.00593787	0.00219987	0.012023	0.174081	0.504464	0.100417	0.221039	2.266843	0.224666	0.420561	0.579439	0.775335	0.0860356	0.302301	0.688504	1.45242	3.30796	11.6231	1.773684	0.0176854	0.00740648	0.00478916	0.00938524	0.0205058	0.0162357	0.000775557	0.00556672	0.0412732	0.019687	0.012254	0.00522096	0.0518718	0.0496991	0.00759046	0.00349128	0.00870635	0.00368473	0.00173962	0.0454343	0.0241905	0.00608032	0.00630328	0.0156791	0.0328485	0.000789108	0.00288655	0.0141464	0.0139859	0.00108782	0.0354769	0.0126926	0.0137987	0.00323063	0.00416852	0.00430593	0.00305798	0.00134292	0.0245986	0.0074015	0.0195487	0.0295632	0.000756098	0.0464736	0.00203973	0.0172793	0.0037925	0.00367323	0.00563199	0.0419244	0.0154784	0.0204774	0.0569283	0.00254137	0.0107181	0.0100045	0.00604522	0.00616997	0.0166601	0.00223187	0.00201701	0.0331405	0.00433525	0.00169258	0.0195991	0.0293646	0.00908272	0.00336498	0.0183906	0.6537552	1.194579	0.146898	0.386975	0.613025	0.853102
216	-655.1158	-761.7695	106.6537	0.0130401	0.0231791	0.00474538	0.00424402	0.0987385	0.00686585	0.0092372	0.0018606	0.0408282	0.015706	0.0121793	0.0254845	0.0432938	0.0991227	0.0231258	0.00385913	0.0178149	0.00393137	0.00151457	0.0264591	0.00642243	0.0143993	0.000918509	0.0117766	0.00897955	0.0019976	0.00110563	0.00807005	0.014175	0.00152381	0.0169233	0.0185474	0.00790966	0.00345215	0.00374656	0.00281017	0.00474275	0.0519186	0.0301784	0.0158495	0.0147798	0.0101186	0.0270773	0.00272428	0.0371837	0.000514302	0.0074688	0.0113745	0.00163362	0.0187255	0.0203185	0.0118874	0.0229148	0.000352429	0.0131141	0.00725659	0.0367198	0.0307768	0.0483112	0.0245981	0.0296635	0.00821605	0.00104403	0.0047678	0.0675411	0.00913799	0.00696056	0.0177589	0.0429745	0.277982	0.169012	0.0975195	0.455487	2.879904	0.251488	0.43011	0.569891	0.748512	0.14428	0.388993	0.744851	1.34255	2.57074	6.93098	1.399863	0.0105452	0.0187443	0.00383747	0.00343203	0.0798473	0.00555224	0.00746988	0.00150462	0.0330167	0.0127011	0.00984912	0.0206086	0.0350106	0.080158	0.0187013	0.00312078	0.0144064	0.0031792	0.0012248	0.0213968	0.00519365	0.0116444	0.000742775	0.00952342	0.00726153	0.0016154	0.000894091	0.00652604	0.0114629	0.00123227	0.0136854	0.0149988	0.00639634	0.00279166	0.00302975	0.00227252	0.00383534	0.0419852	0.0244045	0.0128171	0.011952	0.00818265	0.0218967	0.00220306	0.0300695	0.000415903	0.00603983	0.00919823	0.00132106	0.0151429	0.016431	0.00961307	0.0185306	0.000285	0.0106051	0.00586822	0.0296943	0.0248884	0.0390681	0.0198918	0.0239881	0.00664411	0.000844283	0.00385559	0.0546187	0.00738966	0.00562882	0.0143612	0.0347524	1.236592	2.759556	0.24683	0.428504	0.571496	0.75317
252	-650.782	-758.683	107.9009	0.0157793	0.0044663	0.012168	0.00845867	0.00714834	0.00694435	0.00536433	0.0269135	0.00105131	0.00979832	0.00382236	0.0029694	0.0185767	0.0476291	0.00599884	0.00816327	0.000980751	0.00388345	0.00132353	0.00106159	0.0126419	0.0030689	0.00449499	0.00827133	0.00412619	0.000176596	0.000100147	0.00668713	0.000649466	0.00101275	0.00761992	0.00635553	0.00353523	0.0105274	9.18163e-05	0.00427594	0.0362631	0.00491557	0.0616877	0.00718941	0.0191906	0.00401481	0.0012478	0.0346476	0.01215	0.000535848	0.0216468	0.0138856	0.00505769	0.0137229	0.00804905	0.0244958	0.0165543	0.00524832	0.00162233	0.0220854	0.00617501	0.0462378	0.00445894	0.00234763	0.0194191	0.0283578	0.00299885	0.00984777	0.000848423	0.034875	0.0127905	0.00738157	0.000775838	0.0783747	0.379788	0.489896	0.0519413	2.926785	0.253235	0.430706	0.569293	0.746766	0.0476607	0.22664	0.629327	1.589	4.41229	20.9816	2.200767	0.0208484	0.00590107	0.0160769	0.011176	0.00944471	0.00917519	0.00708759	0.0355593	0.00138904	0.012946	0.00505028	0.00392331	0.0245444	0.0629298	0.00792594	0.0107857	0.00129581	0.00513099	0.00174871	0.00140262	0.016703	0.00405477	0.00593898	0.0109285	0.00545172	0.000233327	0.000132319	0.00883534	0.000858104	0.00133809	0.0100678	0.00839722	0.0046709	0.0139092	0.000121312	0.00564956	0.0479125	0.00649467	0.0815046	0.00949897	0.0253555	0.00530455	0.00164865	0.045778	0.0160531	0.000707986	0.0286007	0.0183463	0.00668245	0.0181314	0.0106348	0.032365	0.0218723	0.00693432	0.0021435	0.0291802	0.00815871	0.0610915	0.00589135	0.00310179	0.0256574	0.0374676	0.00396222	0.0130113	0.00112098	0.0460784	0.0168994	0.00975286	0.00102507	0.7568616	0.7858849	0.0963635	0.356472	0.643528	0.903636
288	-651.1591	-759.8831	108.7239	0.0640264	0.0135494	0.0160174	0.00761137	0.0264579	0.013716	0.0177556	0.0140041	0.0122386	0.00844564	0.0107874	0.0261683	0.0850008	0.0821776	0.011663	0.00200474	0.0215763	0.0094839	0.00323961	0.0209733	0.0123427	0.0147157	0.00191106	0.00711058	0.0149141	0.0186948	0.0126165	0.0363846	0.00968836	0.0062127	0.0231209	0.0191156	0.000841198	0.0126365	0.00313109	0.00729026	0.00247513	0.0703174	0.0133764	0.0116365	0.0642442	0.0647887	0.0851317	0.00657063	0.0395086	0.0568899	0.0316343	0.00340116	0.0569315	0.0388374	0.025905	0.014129	0.00682173	0.0146493	0.0105692	0.0429471	0.0201394	0.0296869	0.00143714	0.0106324	0.020064	0.00349071	0.00543216	0.00276925	0.0384458	0.030757	0.0271937	0.00758432	0.0108393	0.0442531	0.307762	0.579827	0.0681582	1.698852	0.190382	0.407072	0.592927	0.809618	0.145542	0.390649	0.745839	1.34077	2.55984	6.87087	1.393564	0.0416605	0.00881628	0.0104222	0.00495254	0.0172156	0.00892468	0.0115531	0.00911217	0.00796336	0.00549539	0.00701913	0.0170271	0.0553081	0.0534711	0.00758882	0.00130444	0.0140392	0.00617095	0.00210794	0.0136468	0.0080311	0.00957517	0.00124348	0.00462669	0.00970426	0.0121643	0.00820925	0.0236747	0.006304	0.00404246	0.0150443	0.0124381	0.000547348	0.00822226	0.00203733	0.0047436	0.00161051	0.0457539	0.0087037	0.00757159	0.0418023	0.0421565	0.0553932	0.00427536	0.0257074	0.0370169	0.0205837	0.00221306	0.037044	0.0252706	0.0168558	0.00919341	0.00443874	0.00953199	0.00687712	0.0279447	0.0131042	0.0193166	0.000935111	0.00691823	0.0130552	0.00227133	0.00353458	0.00180189	0.0250158	0.0200129	0.0176943	0.00493494	0.0070529	1.536861	0.7787663	0.0953194	0.355716	0.644284	0.90468
324	-663.101	-769.9936	106.8925	0.0170472	0.00842447	0.0410728	0.013899	0.00193656	0.0148843	0.0121205	0.00693686	0.0139281	0.0071954	0.00977181	0.0226861	0.0194715	0.0221943	0.00350072	0.00128072	0.0125973	0.00992423	0.000622597	0.0427472	0.00455804	0.00939817	0.00583119	0.00883404	0.00217673	0.00117246	0.00328138	0.0149175	0.00882957	0.0131852	0.00753428	0.00652298	0.00105726	0.0181328	0.00122954	0.00502266	0.00388679	0.0343871	0.0129822	0.00804531	0.00653316	0.0475759	0.0322573	0.000162183	0.00219081	0.0207659	0.0015518	0.0138447	0.00986669	0.0183478	0.00288106	0.00740332	0.0188779	0.00150294	0.00660254	0.0220415	0.00642525	0.014894	0.000293141	0.0391922	0.00618755	0.000427918	0.0114718	0.00266253	0.0155063	0.0216798	0.0303264	0.0039194	0.0260094	0.21652	0.191409	0.301775	0.290296	4.552335	0.297661	0.445059	0.554941	0.702339	0.118685	0.353655	0.723045	1.38304	2.82762	8.4257	1.541067	0.0201831	0.00997418	0.0486283	0.0164558	0.0022928	0.0176223	0.0143501	0.00821292	0.0164902	0.00851901	0.0115694	0.0268593	0.0230533	0.0262769	0.00414469	0.00151631	0.0149146	0.0117498	0.000737126	0.0506107	0.00539651	0.011127	0.00690385	0.0104591	0.00257715	0.00138814	0.00388499	0.0176616	0.0104538	0.0156107	0.00892023	0.0077229	0.00125174	0.0214684	0.00145572	0.00594659	0.00460178	0.0407127	0.0153703	0.00952527	0.00773496	0.0563276	0.0381912	0.000192017	0.00259381	0.0245859	0.00183726	0.0163915	0.0116817	0.021723	0.00341103	0.00876518	0.0223506	0.00177941	0.0078171	0.0260961	0.0076072	0.0176338	0.000347065	0.0464018	0.00732577	0.000506634	0.0135821	0.00315231	0.0183587	0.0256679	0.035905	0.00464039	0.0307939	0.8446283	1.571734	0.180869	0.403007	0.596993	0.819131
